"wp_plan_id","wp_slug","wp_title","wp_price_usd","wp_billing_cycle","laravel_tier_id","laravel_slug","laravel_name","laravel_price_usd","laravel_billing_cycle","status","notes"
"4234","professional-membership-fee-2","Professional Membership Fee","150.00","annual","","professional-membership","Professional Membership Fee","150.00","annual","matched","Implemented 2026-04-19 via CommerceConfirmedProductsSeeder + CommerceConfirmedPricesSeeder (slug professional-membership, public NULL-tier price $150). Tier intentionally NOT linked (sold as a paid product, no membership_tier_id assignment yet). NOTE: $10 application fee in page copy is NOT included — see OQ#13."
"19447","professional-membership-fee","Professional Membership Fee","","annual","","","","","","ambiguous","WP draft — likely superseded by 4234. Confirm with client."
"19453","chartered-professional-membership","CHARTERED PROFESSIONAL MEMBERSHIP","","annual","","","","","","ambiguous","No price visible in HTML capture. Closest Laravel tier = Senior Certified Member (SCM)? Confirm price + tier mapping."
"4233","corporate-membership","Corporate Membership Fee","3000.00","annual","","corporate-membership","Corporate Membership Fee","3000.00","annual","matched","Implemented 2026-04-19 via CommerceConfirmedProductsSeeder + CommerceConfirmedPricesSeeder (slug corporate-membership, public NULL-tier price $3,000). CORP tier exists but is intentionally NOT linked at the price row level (sold as paid product, membership activation deferred per project conventions)."
"24613","student-membership-fee","Student Membership","","annual","","student-member","Student Member","","annual","matched_price_diff","Laravel tier exists (STU) but no seeded price. Confirm fee from client."
"35315","specialist-fellow-membership","Specialist Fellow Membership","","annual","","","","","","wp_only","No matching Laravel tier. Likely a sub-variant of Fellow Member (FM). Confirm price + whether to add as new tier or single FM."
"35332","professional-fellow-membership","Professional Fellow Membership","1200.00","annual","","","","","","wp_only","No matching Laravel tier. Sub-variant of Fellow Member. Add as new tier?"
"35341","academic-fellow-membership","Academic Fellow Membership","950.00","annual","","","","","","wp_only","No matching Laravel tier. Possibly subset of Academic Member (ACAD)."
"35368","corporate-fellow-membership","Corporate Fellow Membership","2500.00","annual","","","","","","wp_only","No matching Laravel tier. Distinct from Corporate Membership ($3000). Possibly sub-variant."
"35392","emerging-leader-fellow-membership","Emerging Leader Fellow Membership","850.00","annual","","","","","","wp_only","No matching Laravel tier."
"35419","international-fellow-membership","International Fellow Membership","1499.99","annual","","international-member","International Member","","annual","matched_price_diff","Closest Laravel tier = International Member (INTL). But this is the *Fellow* variant. Confirm: separate tier or same?"
"35458","grand-fellow-membership","Grand Fellow Membership","1999.99","annual","","","","","","wp_only","Top-tier Fellow variant. No Laravel equivalent."
"12326","become-a-fellow-member","Become a Fellow Member","","annual","","fellow-member","Fellow Member","","annual","matched_price_diff","Laravel tier FM exists. WP product is a generic gateway/landing — confirm canonical price."
"4231","manager-membership","Certified Professional/Manager Membership Fee","","annual","","","","","","ambiguous","Title implies Certified + Manager dual coverage. Maps to Certified Member (CM)? Confirm."
"6509","membership-service","Membership Service Fee","","one-time","","","","","","ambiguous","Generic fee SKU — likely admin/processing. Not a tier. Possibly retire."
"37207","annual-membership-renewal-fee","Annual Membership Renewal Fee","160.00","annual","","professional-membership-renewal","Annual Membership Renewal Fee","160.00","annual","matched","Implemented 2026-04-19 via CommerceConfirmedProductsSeeder + CommerceConfirmedPricesSeeder (slug professional-membership-renewal, public NULL-tier price $160). Modelled as a SEPARATE Laravel product (not a re-bill of the original) — see OQ#5 resolution in wp-commerce-mapping.md."
"36822","renewal-and-new-certificate-fee","Renewal and New Certificate Fee","","one-time","","","","","","wp_only","Cert renewal — relates to certifications, not membership tiers. Move to products.csv?"
"","","","","","","senior-certified-member","Senior Certified Member","","annual","laravel_only","Code SCM. No matching WP plan found — confirm if it should map to chartered-professional-membership."
"","","","","","","non-profit-member","Non-Profit Member","","annual","laravel_only","Code NPO. No matching WP plan."
"","","","","","","government-member","Government Member","","annual","laravel_only","Code GOV. No matching WP plan."
"","","","","","","life-member","Life Member","","lifetime","laravel_only","Code LIFE. No matching WP plan."
"","","","","","","honorary-member","Honorary Member","0.00","lifetime","laravel_only","Code HON. No matching WP plan. Likely no purchase flow."
"","","","","","","associate-member","Associate Member","","annual","laravel_only","Code ASSOC. No matching WP plan."
"","","","","","","affiliate-member","Affiliate Member","","annual","laravel_only","Code AFF. No matching WP plan."
